PLAYER,TEAM,POS,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,AGE,HT,WT,SALARY
Kevin Durant, OKC,SF,81,38.5,0.635,16.1,10.3,31.2,2.2,18.6,10.8,29.9,903.8,30.1,25,81,240,18995624
LeBron James, MIA,SF,77,37.7,0.649,20.6,11.4,29.1,3.6,18.9,11.5,29.4,818.5,27.3,29,80,250,20644400
Kevin Love, MIN,PF,77,36.3,0.591,15.2,8.7,27.7,8.5,29.5,18.7,26.97,645.8,21.5,25,82,243,15719063
Anthony Davis, NO,PF,67,35.2,0.582,7.4,7.7,23.2,10,23.3,16.6,26.54,529.3,17.6,21,82,220,5607240
DeMarcus Cousins, SAC,C,71,32.4,0.555,10.8,13.1,30.7,10.6,30.5,20.4,26.18,534.5,17.8,24,83,270,14746000
Chris Paul, LAC,PG,62,35,0.58,36.2,7.9,25,2,11.4,6.9,25.98,485.2,16.2,29,73,175,20068563
Brook Lopez, BKN,C,17,31.4,0.629,4.9,8.7,24.1,8.8,14.1,11.5,25.5,118.6,4,26,85,275,15719062
Russell Westbrook, OKC,PG,46,30.7,0.545,22.5,12.5,33.5,4.6,15.9,10.5,24.74,289.6,9.7,25,75,200,15719062
Carmelo Anthony, NY,SF,77,38.7,0.561,10.4,8.5,30.1,5.6,19.4,12.3,24.5,623,20.8,30,80,235,22458401
Stephen Curry, GS,PG,78,36.5,0.61,26.7,11.8,28.2,1.8,10.9,6.4,24.13,557.6,18.6,26,75,185,10629213
Blake Griffin, LAC,PF,80,35.8,0.583,14.1,10.2,27.1,7.7,21.2,14.7,23.98,533.3,17.8,25,82,251,17674613
Dirk Nowitzki, DAL,PF,80,32.9,0.603,12.2,6.6,24.9,1.8,20,10.9,23.68,477.7,15.9,36,85,245,7974482
Brandan Wright, DAL,PF,58,18.6,0.695,7,7.9,15.8,11,15.1,13.1,23.6,194.5,6.5,26,82,210,5000000
James Harden, HOU,SG,73,38,0.618,20.2,12,26.8,2.6,10.7,6.9,23.51,539.2,18,24,77,220,14728844
